[2024-09-08 20:08:18,510: INFO: main: welcome to my 1st log]
[2024-09-08 21:12:23,122: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:12:23,125: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:12:23,130: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:12:23,131: INFO: common: created directory at: artifacts]
[2024-09-08 21:12:23,133: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:14:18,978: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:14:18,980: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:14:18,984: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:14:18,986: INFO: common: created directory at: artifacts]
[2024-09-08 21:14:18,988: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:15:55,894: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:15:55,896: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:15:55,900: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:15:55,902: INFO: common: created directory at: artifacts]
[2024-09-08 21:15:55,903: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:16:45,307: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:16:45,309: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:16:45,313: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:16:45,315: INFO: common: created directory at: artifacts]
[2024-09-08 21:16:45,316: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:17:16,302: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:17:16,304: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:17:16,309: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:17:16,310: INFO: common: created directory at: artifacts]
[2024-09-08 21:17:16,312: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:17:39,974: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:17:39,976: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:17:39,980: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:17:39,982: INFO: common: created directory at: artifacts]
[2024-09-08 21:17:39,983: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:18:08,799: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:18:08,801: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:18:08,806: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:18:08,808: INFO: common: created directory at: artifacts]
[2024-09-08 21:18:08,809: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:18:09,053: INFO: 1901953100: (67856, 18)]
[2024-09-08 21:19:38,724: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:19:38,726: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:19:38,730: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:19:38,732: INFO: common: created directory at: artifacts]
[2024-09-08 21:19:38,733: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:20:36,966: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:20:36,968: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:20:36,973: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:20:36,975: INFO: common: created directory at: artifacts]
[2024-09-08 21:20:36,977: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:20:55,005: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:20:55,007: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:20:55,012: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:20:55,014: INFO: common: created directory at: artifacts]
[2024-09-08 21:20:55,015: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:20:55,240: INFO: 98376626: (67856, 18)]
[2024-09-08 21:24:40,548: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:24:40,550: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:24:40,554: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:24:40,556: INFO: common: created directory at: artifacts]
[2024-09-08 21:24:40,557: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:25:23,150: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:25:23,152: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:25:23,159: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:25:23,161: INFO: common: created directory at: artifacts]
[2024-09-08 21:25:23,162: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:26:02,203: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:26:02,205: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:26:02,209: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:26:02,211: INFO: common: created directory at: artifacts]
[2024-09-08 21:26:02,212: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:27:54,664: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:27:54,668: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:27:54,672: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:27:54,673: INFO: common: created directory at: artifacts]
[2024-09-08 21:27:54,676: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:28:40,261: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:28:40,264: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:28:40,269: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:28:40,271: INFO: common: created directory at: artifacts]
[2024-09-08 21:28:40,273: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:29:16,600: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:29:16,602: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:29:16,607: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:29:16,609: INFO: common: created directory at: artifacts]
[2024-09-08 21:29:16,612: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:30:23,754: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:30:23,756: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:30:23,761: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:30:23,763: INFO: common: created directory at: artifacts]
[2024-09-08 21:30:23,765: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:31:04,377: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:31:04,379: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:31:04,384: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:31:04,385: INFO: common: created directory at: artifacts]
[2024-09-08 21:31:04,387: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:31:21,657: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:31:21,659: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:31:21,666: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:31:21,667: INFO: common: created directory at: artifacts]
[2024-09-08 21:31:21,670: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:31:38,563: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:31:38,565: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:31:38,569: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:31:38,571: INFO: common: created directory at: artifacts]
[2024-09-08 21:31:38,573: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:32:03,885: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:32:03,887: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:32:03,893: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:32:03,894: INFO: common: created directory at: artifacts]
[2024-09-08 21:32:03,896: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:32:51,567: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:32:51,569: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:32:51,573: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:32:51,575: INFO: common: created directory at: artifacts]
[2024-09-08 21:32:51,576: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:33:39,143: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:33:39,145: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:33:39,149: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:33:39,151: INFO: common: created directory at: artifacts]
[2024-09-08 21:33:39,153: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:34:06,760: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:34:06,762: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:34:06,767: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:34:06,768: INFO: common: created directory at: artifacts]
[2024-09-08 21:34:06,770: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:35:06,848: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:35:06,851: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:35:06,855: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:35:06,856: INFO: common: created directory at: artifacts]
[2024-09-08 21:35:06,858: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:36:06,357: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:36:06,359: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:36:06,363: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:36:06,365: INFO: common: created directory at: artifacts]
[2024-09-08 21:36:06,366: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:36:42,644: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:36:42,646: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:36:42,650: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:36:42,651: INFO: common: created directory at: artifacts]
[2024-09-08 21:36:42,652: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:37:01,271: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:37:01,273: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:37:01,277: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:37:01,279: INFO: common: created directory at: artifacts]
[2024-09-08 21:37:01,280: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:37:29,822: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:37:29,824: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:37:29,827: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:37:29,829: INFO: common: created directory at: artifacts]
[2024-09-08 21:37:29,830: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:37:52,000: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:37:52,002: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:37:52,007: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:37:52,009: INFO: common: created directory at: artifacts]
[2024-09-08 21:37:52,010: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:38:53,609: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:38:53,611: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:38:53,614: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:38:53,616: INFO: common: created directory at: artifacts]
[2024-09-08 21:38:53,618: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:39:31,946: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:39:31,948: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:39:31,952: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:39:31,954: INFO: common: created directory at: artifacts]
[2024-09-08 21:39:31,955: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:43:34,239: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:43:34,241: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:43:34,246: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:43:34,247: INFO: common: created directory at: artifacts]
[2024-09-08 21:43:34,248: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:43:59,144: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:43:59,146: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:43:59,151: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:43:59,152: INFO: common: created directory at: artifacts]
[2024-09-08 21:43:59,153: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:44:53,586: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:44:53,588: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:44:53,592: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:44:53,594: INFO: common: created directory at: artifacts]
[2024-09-08 21:44:53,595: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:44:53,789: INFO: 1731459652: (67856, 8)]
[2024-09-08 21:45:08,067: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:45:08,069: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:45:08,073: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:45:08,074: INFO: common: created directory at: artifacts]
[2024-09-08 21:45:08,076: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:45:08,282: INFO: 3661887016:    veh_value  exposure    claimcst0 veh_body  veh_age gender area  agecat
0      1.950  0.594114     0.000000    HBACK        1      M    A       1
1      1.590  0.229979     0.000000    SEDAN        1      F    A       1
2      2.649  0.257358  9424.349976    TRUCK        1      M    A       1
3      1.460  0.221766     0.000000    HBACK        1      F    A       1
4      1.540  0.238193     0.000000    SEDAN        1      F    A       1]
[2024-09-08 21:45:49,449: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:45:49,451: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:45:49,455: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:45:49,457: INFO: common: created directory at: artifacts]
[2024-09-08 21:45:49,458: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:45:49,697: INFO: 337157867:    veh_value  exposure    claimcst0  veh_body  veh_age  gender  area  agecat
0      1.950  0.594114     0.000000         3        1       1     0       1
1      1.590  0.229979     0.000000         9        1       0     0       1
2      2.649  0.257358  9424.349976        11        1       1     0       1
3      1.460  0.221766     0.000000         3        1       0     0       1
4      1.540  0.238193     0.000000         9        1       0     0       1]
[2024-09-08 21:47:19,203: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:47:19,205: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:47:19,211: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:47:19,213: INFO: common: created directory at: artifacts]
[2024-09-08 21:47:19,214: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:47:19,829: INFO: 2076415396: Data Splitting is completed]
[2024-09-08 21:48:46,690: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:48:46,692: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:48:46,697: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:48:46,699: INFO: common: created directory at: artifacts]
[2024-09-08 21:48:46,700: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:48:47,289: INFO: 800239905: Data Splitting is completed]
[2024-09-08 21:49:34,566: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:49:34,569: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:49:34,574: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:49:34,576: INFO: common: created directory at: artifacts]
[2024-09-08 21:49:34,578: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:49:35,190: INFO: 2417638356: Data Splitting is completed]
[2024-09-08 21:49:35,191: INFO: 2417638356: (54284, 8)]
[2024-09-08 21:49:35,192: INFO: 2417638356: (13572, 8)]
[2024-09-09 06:55:50,858: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 06:55:50,867: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 06:55:50,873: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 06:55:50,876: INFO: common: created directory at: artifacts]
[2024-09-09 06:56:22,327: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 06:56:22,330: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 06:56:22,336: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 06:56:22,338: INFO: common: created directory at: artifacts]
[2024-09-09 06:56:43,793: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 06:56:43,797: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 06:56:43,802: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 06:56:43,804: INFO: common: created directory at: artifacts]
[2024-09-09 06:56:43,807: INFO: common: created directory at: artifacts/training]
[2024-09-09 07:03:34,398: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:03:34,402: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:03:34,409: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:03:34,411: INFO: common: created directory at: artifacts]
[2024-09-09 07:04:06,234: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:04:06,238: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:04:06,244: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:04:06,246: INFO: common: created directory at: artifacts]
[2024-09-09 07:04:06,248: INFO: common: created directory at: artifacts/model_evaluation]
[2024-09-09 07:04:07,554: INFO: common: json file saved at: artifacts\model_evaluation\metrics.json]
[2024-09-09 07:05:34,709: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:05:34,723: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:05:34,728: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:05:34,730: INFO: common: created directory at: artifacts]
[2024-09-09 07:05:34,732: INFO: common: created directory at: artifacts/training]
[2024-09-09 07:05:56,409: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:05:56,413: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:05:56,421: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:05:56,423: INFO: common: created directory at: artifacts]
[2024-09-09 07:05:56,424: INFO: common: created directory at: artifacts/model_evaluation]
[2024-09-09 07:05:57,899: INFO: common: json file saved at: artifacts\model_evaluation\metrics.json]
[2024-09-09 07:35:20,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:35:20,742: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:35:20,747: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:35:20,750: INFO: common: created directory at: artifacts]
[2024-09-09 07:35:20,751: INFO: common: created directory at: artifacts/training]
[2024-09-09 07:35:44,517: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:35:44,520: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:35:44,526: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:35:44,529: INFO: common: created directory at: artifacts]
[2024-09-09 07:36:21,785: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:36:21,788: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:36:21,792: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:36:21,794: INFO: common: created directory at: artifacts]
[2024-09-09 07:36:21,796: INFO: common: created directory at: artifacts/training]
[2024-09-09 07:37:19,646: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:37:19,651: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:37:19,660: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:37:19,663: INFO: common: created directory at: artifacts]
[2024-09-09 07:37:19,665: INFO: common: created directory at: artifacts/model_evaluation]
[2024-09-09 07:37:20,912: INFO: common: json file saved at: artifacts\model_evaluation\metrics.json]
[2024-09-09 07:44:37,198: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:44:37,203: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:44:37,212: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:44:37,215: INFO: common: created directory at: artifacts]
[2024-09-09 07:44:37,217: INFO: common: created directory at: artifacts/training]
[2024-09-09 07:44:55,014: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 07:44:55,018: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 07:44:55,027: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 07:44:55,029: INFO: common: created directory at: artifacts]
[2024-09-09 07:44:55,031: INFO: common: created directory at: artifacts/model_evaluation]
[2024-09-09 07:44:56,340: INFO: common: json file saved at: artifacts\model_evaluation\metrics.json]
[2024-09-09 18:54:40,095: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 18:54:40,108: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 18:54:40,120: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 18:54:40,123: INFO: common: created directory at: artifacts]
[2024-09-09 18:54:40,125: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-09 18:54:40,508: INFO: 2461142721: veh_value    float64
exposure     float64
clm            int64
numclaims      int64
claimcst0    float64
veh_body      object
veh_age        int64
gender        object
area          object
agecat         int64
X_OBSTAT_     object
dtype: object]
[2024-09-09 18:54:40,511: INFO: 2461142721: Ingestion of the data is completed]
[2024-09-09 19:14:03,560: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-09-09 19:14:03,564: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 19:14:03,565: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 19:14:03,570: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 19:14:03,571: INFO: common: created directory at: artifacts]
[2024-09-09 19:14:03,571: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-09 19:14:03,572: INFO: data_ingestion: Ingestion of the data is completed]
[2024-09-09 19:14:03,572: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-09-09 19:14:34,700: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-09-09 19:14:34,705: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-09 19:14:34,706: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-09 19:14:34,709: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-09 19:14:34,710: INFO: common: created directory at: artifacts]
[2024-09-09 19:14:34,710: INFO: common: created directory at: artifacts/data_ingestion]
