veh_value,exposure,claimcst0,veh_body,veh_age,area,agecat,gender
1.84,0.6324435318,0.0,3,2,3,6,0
2.66,0.4818617385,0.0,11,3,1,1,1
3.55,0.6570841889,1179.9199982,12,2,0,3,1
1.21,0.4462696783,0.0,3,2,2,6,0
0.72,0.372347707,0.0,9,4,4,3,0
1.0,0.6160164271,0.0,9,3,3,3,0
1.17,0.6707734428,0.0,3,2,2,2,1
4.01,0.2546201232,0.0,10,1,5,5,1
0.75,0.8651608487,0.0,9,4,2,4,1
1.13,0.2299794661,0.0,9,3,0,3,1
1.73,0.9719370294,0.0,9,2,2,2,0
1.41,0.9993155373,12158.759979,9,2,2,5,0
0.6,0.7885010267,0.0,12,4,0,5,1
2.83,0.5612594114,0.0,10,2,1,2,0
1.43,0.1779603012,0.0,3,1,2,1,0
0.8,0.5612594114,0.0,2,4,1,3,1
1.27,0.3449691992,0.0,9,3,5,4,1
0.84,0.8049281314,0.0,9,3,0,3,0
1.74,0.8542094456,0.0,3,2,2,3,0
1.26,0.219028063,0.0,9,3,2,6,0
1.12,0.0711841205,0.0,3,2,2,3,0
2.3,0.1861738535,0.0,12,1,2,4,0
2.77,0.090349076,0.0,10,2,2,2,0
1.01,0.1642710472,0.0,6,4,1,2,1
4.44,0.5804243669,0.0,10,1,0,3,1
1.5,0.5749486653,0.0,3,1,2,3,0
1.69,0.3531827515,0.0,12,3,3,5,1
1.18,0.7036276523,0.0,3,2,0,1,0
2.17,0.1971252567,0.0,4,3,5,2,0
1.8,0.8761122519,0.0,10,4,2,5,1
1.17,0.0848733744,0.0,9,3,1,6,0
0.82,0.5886379192,0.0,3,4,0,2,0
2.25,0.205338809,0.0,9,1,2,3,0
3.37,0.4052019165,0.0,12,1,5,1,1
1.04,0.6981519507,353.76999998,3,2,4,4,0
1.57,0.5065023956,0.0,10,4,3,4,0
1.56,0.1971252567,0.0,3,1,3,4,0
1.68,0.1752224504,0.0,6,4,0,4,0
0.46,0.6023271732,0.0,9,4,2,4,0
0.84,0.038329911,0.0,3,4,0,3,1
2.35,0.3039014374,0.0,3,2,2,3,1
2.05,0.3066392882,0.0,9,2,2,6,1
0.96,0.7364818617,0.0,10,4,2,6,1
0.76,0.5639972621,0.0,3,3,3,1,0
1.64,0.8980150582,0.0,9,2,2,5,0
1.95,0.643394935,0.0,9,1,2,6,0
0.96,0.1587953457,0.0,9,3,2,2,0
1.17,0.7529089665,0.0,3,2,0,2,1
1.9,0.038329911,0.0,10,4,0,2,1
1.38,0.2546201232,0.0,10,4,1,5,1
0.31,0.5722108145,0.0,9,4,3,3,1
9.43,0.2518822724,0.0,9,3,1,3,1
2.86,0.1423682409,0.0,10,1,1,6,0
1.99,0.7008898015,0.0,9,2,3,3,0
1.8,0.7885010267,0.0,9,2,3,3,0
1.64,0.1149897331,0.0,9,3,1,1,1
0.75,0.3230663929,0.0,3,3,2,6,1
0.74,0.0657084189,0.0,12,4,3,3,0
1.89,0.9801505818,0.0,9,2,4,4,1
1.33,0.1149897331,0.0,4,4,1,2,1
1.799,0.4353182752,0.0,9,1,0,3,0
0.78,0.3668720055,6407.8899803,3,4,0,4,1
0.51,0.0848733744,0.0,3,4,2,3,0
2.98,0.6543463381,0.0,11,2,4,3,0
2.32,0.1533196441,0.0,10,3,3,2,0
0.35,0.2683093771,0.0,9,4,0,2,0
0.72,0.3613963039,0.0,3,3,1,2,0
1.87,0.8952772074,0.0,3,2,0,2,0
3.85,0.0054757016,0.0,11,2,0,1,1
0.31,0.0629705681,0.0,9,4,2,4,1
0.39,0.090349076,0.0,3,4,2,6,1
2.36,0.9719370294,0.0,9,2,2,4,0
1.16,0.2683093771,0.0,12,4,3,3,1
1.81,0.8049281314,0.0,9,2,1,3,1
0.6,0.0821355236,0.0,9,4,2,2,1
4.09,0.9363449692,0.0,10,2,5,5,1
0.43,0.3422313484,0.0,3,4,2,2,1
2.89,0.424366872,0.0,10,2,3,5,0
0.71,0.4380561259,0.0,10,4,0,4,1
1.49,0.5831622177,0.0,3,1,1,1,0
3.22,0.8788501027,0.0,10,2,5,2,0
2.17,0.5393566051,0.0,10,3,2,5,1
1.17,0.6132785763,0.0,3,2,4,4,0
1.12,0.2847364819,0.0,9,3,0,4,0
1.31,0.9527720739,0.0,3,1,0,5,0
2.57,0.0684462697,0.0,10,3,0,3,1
2.8,0.8678986995,0.0,9,1,1,3,1
1.13,0.6105407255,0.0,3,2,1,3,0
1.2,0.9418206708,0.0,9,3,1,5,0
1.65,0.5776865161,0.0,9,1,3,3,0
1.19,0.5776865161,0.0,3,2,1,1,0
1.17,0.462696783,0.0,9,4,1,4,0
1.89,0.9117043121,0.0,9,2,0,5,0
1.24,0.1368925394,0.0,3,2,2,2,0
1.04,0.5886379192,0.0,10,3,0,4,0
1.14,0.6132785763,0.0,3,4,2,4,1
1.88,0.1341546886,0.0,10,2,0,6,0
3.22,0.2710472279,0.0,10,2,4,2,0
0.61,0.4572210814,0.0,9,4,2,3,0
0.97,0.1560574949,0.0,9,3,2,6,1
1.74,0.7529089665,0.0,3,2,4,4,0
0.66,0.9993155373,0.0,9,4,4,6,0
1.81,0.772073922,0.0,9,3,1,3,1
2.43,0.4654346338,0.0,10,3,5,5,1
1.76,0.9911019849,0.0,9,2,0,2,0
3.14,0.4407939767,0.0,10,1,2,2,1
4.0,0.8186173853,0.0,10,3,0,2,1
1.88,0.3394934976,0.0,12,1,2,4,1
2.17,0.4572210814,0.0,10,3,2,4,0
4.64,0.7693360712,0.0,10,1,1,3,0
2.82,0.4955509925,0.0,11,2,4,3,1
0.78,0.9719370294,0.0,3,3,0,2,0
1.29,0.3750855578,0.0,3,1,4,4,1
2.74,0.1177275838,0.0,10,1,3,2,0
0.41,0.7282683094,0.0,10,4,3,3,1
1.57,0.6351813826,0.0,9,2,4,4,0
0.77,0.2874743326,0.0,9,3,0,4,0
0.81,0.8678986995,0.0,10,4,0,3,0
1.46,0.8569472964,0.0,3,1,1,1,0
1.18,0.2354551677,0.0,10,4,2,6,1
1.36,0.1615331964,0.0,12,4,3,4,0
1.13,0.1505817933,0.0,3,2,0,3,0
3.19,0.1642710472,0.0,10,1,0,4,0
1.75,0.0657084189,936.79999924,9,1,2,6,1
2.44,0.9965776865,0.0,9,1,0,4,0
2.44,0.2080766598,0.0,10,3,1,3,1
2.04,0.4188911704,0.0,7,2,0,4,1
1.96,0.6735112936,928.44999886,3,1,3,6,0
1.44,0.9993155373,0.0,7,3,1,4,1
2.76,0.4435318275,0.0,10,1,2,2,0
0.82,0.7611225188,0.0,3,4,0,6,0
2.41,0.0054757016,16306.819977,11,3,3,3,1
1.86,0.6570841889,0.0,10,4,2,4,1
1.19,0.5667351129,0.0,10,4,0,2,0
4.11,0.5420944558,1053.8499985,10,2,1,4,1
1.0,0.3039014374,0.0,3,3,1,6,0
1.87,0.772073922,0.0,3,3,2,4,1
2.75,0.3504449008,0.0,10,3,3,2,0
3.25,0.424366872,0.0,9,3,2,6,1
3.3588,0.2683093771,200.0,9,1,2,4,0
1.75,0.6680355921,0.0,9,2,0,6,0
2.56,0.5229295003,0.0,9,3,0,3,0
2.58,0.9856262834,0.0,3,2,2,3,0
1.97,0.5557837098,389.94999981,10,4,5,3,0
1.59,0.7091033539,0.0,9,3,0,6,0
2.14,0.386036961,657.79999924,9,1,3,4,0
1.52,0.2683093771,0.0,3,2,2,1,1
0.78,0.3969883641,0.0,10,4,1,4,0
0.38,0.7337440109,0.0,3,4,2,5,0
0.77,0.2080766598,0.0,9,3,0,4,0
1.79,0.5612594114,0.0,10,4,0,1,1
4.7,0.6652977413,0.0,10,1,3,4,1
0.94,0.2080766598,0.0,9,3,5,4,0
1.43,0.925393566,0.0,9,3,0,1,0
2.02,0.8131416838,0.0,4,3,1,5,1
0.96,0.9226557153,0.0,9,4,2,2,0
1.99,0.1916495551,0.0,10,4,0,1,1
0.36,0.9993155373,0.0,3,4,0,4,0
2.99,0.8186173853,0.0,11,3,5,2,1
2.2,0.5448323066,0.0,3,1,1,4,0
1.66,0.8815879535,0.0,9,3,4,5,0
0.83,0.6844626968,0.0,3,3,0,2,0
0.77,0.1095140315,0.0,9,4,2,2,1
2.07,0.8076659822,7465.1199951,10,1,0,2,1
1.55,0.3997262149,0.0,10,4,3,5,1
1.51,0.8158795346,0.0,3,3,1,4,0
2.68,0.4928131417,0.0,3,1,2,4,0
2.28,0.1971252567,0.0,10,3,1,2,1
3.75,0.1067761807,0.0,10,1,2,3,0
0.43,0.3093771389,0.0,3,4,3,3,0
4.09,0.8131416838,0.0,10,2,3,4,1
1.49,0.925393566,0.0,9,3,1,4,1
0.7,0.8186173853,0.0,3,4,2,1,0
2.29,0.2683093771,0.0,9,1,2,4,0
1.41,0.7364818617,0.0,9,2,2,5,1
1.97,0.7118412046,0.0,10,4,1,3,1
1.18,0.0793976728,0.0,10,4,2,3,1
2.39,0.0301163587,0.0,9,1,2,4,1
1.42,0.167008898,0.0,3,1,3,4,0
4.06,0.4818617385,0.0,10,1,0,3,1
0.88,0.0301163587,0.0,3,3,2,2,0
1.44,0.5092402464,0.0,3,1,0,4,0
0.92,0.7118412046,0.0,3,3,3,4,0
2.1,0.5420944559,0.0,12,3,1,2,0
1.84,0.2108145106,0.0,3,2,1,1,1
1.93,0.0328542094,0.0,10,4,5,4,1
0.45,0.5667351129,0.0,9,4,0,6,0
0.7,0.2272416153,0.0,3,4,1,3,1
1.13,0.3915126626,0.0,10,3,2,1,0
0.51,0.8377823409,0.0,9,4,0,4,1
1.46,0.8980150582,0.0,9,3,1,2,1
1.67,0.7912388775,0.0,11,1,2,3,1
1.31,0.4407939767,0.0,4,4,4,3,1
2.9,0.7337440109,418.17999983,9,1,3,6,1
2.51,0.6105407255,0.0,10,3,3,4,1
0.99,0.5941136208,0.0,12,4,4,2,0
0.38,0.4134154689,0.0,9,4,0,5,0
3.12,0.7419575633,0.0,10,2,5,1,0
2.02,0.9527720739,0.0,3,1,0,4,0
3.45,0.4709103354,0.0,11,2,3,2,1
0.87,0.8952772074,0.0,11,4,2,6,1
2.75,0.167008898,0.0,10,1,2,3,0
0.86,0.6324435318,0.0,3,3,0,1,0
1.559,0.6981519507,0.0,3,1,1,3,0
0.68,0.6023271732,0.0,9,4,0,4,0
0.46,0.3285420945,345.0,3,4,2,3,1
1.62,0.4955509925,0.0,9,3,0,4,0
3.39,0.4188911704,0.0,10,3,0,3,1
2.35,0.6844626968,0.0,9,1,2,6,0
0.99,0.810403833,840.83999634,9,4,0,4,0
1.74,0.090349076,0.0,3,2,4,1,0
3.57,0.2765229295,0.0,10,2,5,2,1
1.6,0.4845995893,0.0,4,3,1,3,0
0.85,0.0848733744,0.0,3,3,2,1,0
1.63,0.3942505133,0.0,3,2,0,4,1
3.83,0.9993155373,0.0,10,1,0,4,0
2.29,0.2600958248,0.0,9,1,0,2,0
1.2,0.076659822,0.0,9,3,3,3,0
2.3,0.2245037645,0.0,9,2,0,5,0
1.42,0.9883641342,0.0,10,3,2,4,0
1.46,0.643394935,3956.1299934,9,2,0,3,1
0.7,0.205338809,0.0,9,4,0,6,1
0.66,0.1095140315,0.0,3,4,0,5,0
0.44,0.3285420945,0.0,9,4,4,6,1
0.45,0.0273785079,0.0,3,4,0,5,0
1.42,0.6707734428,1955.7899971,9,3,1,2,1
2.88,0.4325804244,0.0,10,1,0,2,0
6.58,0.5585215606,0.0,10,1,3,5,1
1.2,0.7857631759,0.0,9,3,4,6,1
2.66,0.5886379192,0.0,9,1,1,5,1
2.37,0.0438056126,0.0,10,2,2,3,0
0.58,0.7419575633,0.0,9,4,1,3,1
0.82,0.553045859,0.0,9,3,2,3,0
0.73,0.9336071184,0.0,9,4,0,5,1
1.08,0.4681724846,0.0,9,3,0,4,0
1.89,0.9226557153,0.0,9,2,2,3,1
2.57,0.4134154689,0.0,12,1,2,5,0
1.8,0.9144421629,1336.7399979,12,4,3,4,1
1.81,0.1560574949,0.0,10,3,2,3,0
1.25,0.0328542094,0.0,12,4,1,3,0
0.7,0.7501711157,0.0,10,4,2,4,1
0.96,0.7364818617,0.0,3,3,1,2,1
1.37,0.9993155373,353.76999998,9,3,2,2,1
2.4,0.8651608487,0.0,9,2,0,5,0
1.86,0.0821355236,0.0,3,2,2,2,1
1.48,0.386036961,0.0,3,2,2,6,0
1.3,0.6543463381,0.0,3,2,3,5,1
1.59,0.0082135524,0.0,10,4,1,6,1
0.91,0.1615331964,0.0,3,3,1,1,0
0.74,0.1834360027,0.0,9,4,2,5,0
1.49,0.4873374401,0.0,9,2,2,6,1
1.18,0.7227926078,0.0,11,4,2,6,0
2.73,0.7939767283,0.0,10,2,3,4,0
2.3,0.3559206023,0.0,10,3,4,3,0
2.85,0.7501711157,0.0,10,3,3,4,1
1.36,0.0657084189,0.0,3,1,2,4,0
1.82,0.7665982204,361.98999977,3,2,1,3,0
1.92,0.0793976728,0.0,9,2,2,1,0
1.65,0.3394934976,0.0,10,3,0,3,0
1.32,0.0793976728,0.0,10,4,5,3,0
1.5,0.2354551677,0.0,9,2,3,6,0
0.6,0.0793976728,0.0,9,4,3,1,0
1.63,0.0602327173,0.0,12,3,4,3,1
2.31,0.1587953457,0.0,12,3,3,2,1
1.9,0.5229295003,0.0,10,2,2,2,1
1.12,0.7310061602,0.0,9,3,1,4,0
1.01,0.4490075291,0.0,10,4,2,4,1
1.64,0.5585215606,0.0,12,3,1,2,1
1.3,0.1013004791,0.0,10,4,3,2,1
3.199,0.4544832307,0.0,10,1,1,3,1
3.34,0.3066392882,0.0,10,3,5,2,1
1.13,0.3805612594,0.0,3,3,4,5,0
3.13,0.4079397673,850.82999992,10,1,0,1,0
1.46,0.9993155373,466.03999996,9,2,1,3,0
1.76,0.1451060917,0.0,9,1,3,4,0
1.58,0.0629705681,0.0,9,2,5,3,0
1.1,0.9582477755,0.0,9,3,1,5,1
0.86,0.4188911704,0.0,9,3,1,4,0
1.93,0.1998631075,0.0,9,2,3,6,1
0.71,0.334017796,0.0,10,4,4,4,1
1.32,0.0301163587,0.0,9,2,0,3,1
2.13,0.5503080082,0.0,9,2,1,4,1
0.38,0.7419575633,0.0,9,4,2,3,0
0.5,0.0082135524,0.0,12,4,2,2,1
2.18,0.5284052019,0.0,10,3,3,2,0
3.58,0.8925393566,0.0,10,2,3,6,1
4.399,0.0273785079,0.0,10,1,1,2,0
1.68,0.4407939767,0.0,6,4,1,4,0
3.35,0.1971252567,0.0,10,2,2,5,0
1.18,0.1177275838,0.0,10,4,1,2,1
3.08,0.7830253251,0.0,4,3,4,3,1
1.7,0.8898015058,0.0,11,3,1,2,0
1.56,0.9171800137,0.0,10,4,0,5,1
1.24,0.5201916495,0.0,3,3,2,1,0
0.91,0.8596851472,0.0,2,3,0,4,1
0.73,0.0438056126,0.0,3,4,2,5,0
2.61,0.9500342231,0.0,9,2,1,5,1
2.71,0.9609856263,0.0,10,2,3,2,1
1.89,0.1259411362,0.0,10,4,2,6,1
1.84,0.6023271732,0.0,10,4,2,3,1
3.21,0.8569472964,1356.6499977,10,1,0,1,1
1.16,0.5941136208,0.0,9,3,0,3,0
1.17,0.1533196441,0.0,9,3,0,4,0
0.77,0.4791238877,0.0,9,3,0,2,0
0.87,0.0657084189,0.0,3,3,3,3,0
0.76,0.6954140999,0.0,3,3,2,1,0
2.43,0.7994524298,0.0,9,1,2,3,0
1.03,0.1341546886,0.0,9,3,2,5,0
2.31,0.6516084873,0.0,9,2,1,4,1
1.52,0.8788501027,404.30999756,9,2,0,2,1
1.22,0.5941136208,0.0,3,3,3,2,0
1.81,0.3039014374,0.0,10,3,1,2,0
3.05,0.7227926078,0.0,9,4,1,4,0
1.76,0.3093771389,0.0,9,2,0,4,0
1.57,0.4517453799,294.59000015,9,2,0,3,0
0.78,0.2217659138,0.0,3,3,1,5,0
0.54,0.8843258042,0.0,3,4,1,1,1
1.01,0.0684462697,0.0,9,3,2,4,0
2.25,0.3531827515,525.98999977,9,2,2,6,1
1.94,0.372347707,0.0,9,3,4,6,1
1.62,0.3942505133,0.0,6,4,1,4,1
3.667,0.3969883641,0.0,10,1,5,2,0
1.11,0.2765229295,0.0,3,3,2,5,1
2.81,0.6132785763,0.0,4,2,1,1,0
0.66,0.5229295003,0.0,3,4,0,2,0
1.9,0.0465434634,0.0,10,4,0,2,1
1.85,0.9719370294,0.0,9,2,0,1,1
3.9,0.2546201232,0.0,9,3,2,4,0
1.17,0.7474332649,0.0,3,2,3,5,1
1.7643,0.6543463381,0.0,3,1,0,3,0
1.58,0.1752224504,0.0,3,2,1,6,1
2.34,0.3258042437,0.0,12,2,4,5,1
1.63,0.7912388775,0.0,9,2,3,5,0
1.8,0.9555099247,0.0,12,3,2,1,1
1.77,0.3832991102,0.0,9,2,2,5,0
0.77,0.5448323066,0.0,10,4,1,3,0
0.38,0.7830253251,0.0,9,4,1,4,1
1.55,0.6461327858,0.0,3,2,2,2,0
0.43,0.3942505133,0.0,9,4,3,6,0
1.65,0.6954140999,11469.089996,10,4,5,1,1
0.41,0.848733744,0.0,9,4,2,6,1
1.79,0.5667351129,0.0,9,2,4,3,1
1.71,0.6379192334,0.0,9,2,0,1,0
0.95,0.7310061602,0.0,9,4,3,5,1
0.37,0.3175906913,0.0,9,4,0,2,0
1.51,0.8186173853,0.0,3,3,4,4,0
1.02,0.3668720055,0.0,9,4,0,3,0
2.45,0.1916495551,0.0,9,1,2,4,0
1.51,0.5585215606,0.0,3,2,2,3,0
1.86,0.0711841205,0.0,9,2,2,5,0
2.74,0.9336071184,0.0,10,2,3,5,0
1.02,0.4435318275,0.0,7,4,2,3,0
0.8,0.9500342231,0.0,3,3,2,5,1
3.0,0.4216290212,0.0,10,3,2,3,1
3.3,0.2600958248,0.0,11,2,0,5,1
0.85,0.2819986311,0.0,3,3,0,4,1
0.86,0.5886379192,0.0,9,3,1,3,0
0.46,0.2546201232,0.0,3,4,2,6,1
1.86,0.7939767283,0.0,3,1,2,3,1
1.19,0.9746748802,0.0,3,3,0,2,1
1.5,0.6379192334,0.0,10,3,2,4,1
1.61,0.3504449008,0.0,9,2,2,4,1
1.82,0.0246406571,0.0,12,3,1,4,1
3.93,0.0629705681,0.0,10,2,0,2,0
2.38,0.6844626968,0.0,9,2,0,3,1
1.92,0.7091033539,0.0,9,2,2,2,0
1.95,0.6516084873,0.0,9,1,0,5,0
2.25,0.2710472279,0.0,10,3,2,6,1
1.39,0.6735112936,0.0,3,1,0,6,0
1.96,0.3559206023,0.0,11,3,1,3,1
2.84,0.0082135524,0.0,10,1,5,2,0
1.74,0.5503080082,0.0,4,3,1,4,0
0.91,0.3039014374,0.0,12,4,3,4,0
1.48,0.6516084873,0.0,3,3,1,6,1
1.07,0.6461327858,0.0,9,4,2,2,1
0.82,0.0930869268,0.0,9,4,0,4,0
0.8,0.6926762491,0.0,3,3,2,4,0
2.77,0.2737850787,0.0,10,3,0,2,1
0.52,0.6926762491,15066.419975,9,4,2,6,1
1.61,0.8377823409,0.0,9,2,2,5,0
4.23,0.501026694,0.0,10,2,5,3,1
1.48,0.4599589322,0.0,3,3,2,2,0
1.9,0.2245037645,0.0,10,4,0,5,0
1.12,0.3422313484,0.0,2,4,2,1,1
1.67,0.038329911,0.0,9,1,5,4,0
0.99,0.7282683094,0.0,12,3,3,6,1
0.97,0.2874743326,0.0,9,3,0,5,1
0.76,0.7474332649,3091.9399948,3,3,0,4,0
1.53,0.6735112936,0.0,12,3,5,5,1
1.36,0.4517453799,0.0,3,1,1,4,0
4.69,0.2162902122,0.0,11,1,3,5,1
2.8,0.0410677618,0.0,9,1,3,6,1
1.83,0.6625598905,0.0,10,3,5,1,1
2.82,0.0930869268,0.0,2,3,2,5,1
1.19,0.0164271047,0.0,3,2,0,6,0
1.36,0.810403833,400.0,3,2,1,4,0
1.96,0.8678986995,0.0,9,2,0,6,1
1.38,0.1314168378,0.0,10,3,3,1,0
1.91,0.9993155373,0.0,10,4,1,5,1
0.53,0.4544832307,0.0,3,4,3,6,1
1.6,0.5448323066,0.0,10,4,0,2,0
1.91,0.5557837098,0.0,9,2,2,4,1
0.89,0.8268309377,0.0,10,4,2,3,0
11.53,0.4435318275,0.0,1,2,2,4,1
1.01,0.9555099247,0.0,9,3,2,4,0
3.98,0.6844626968,1328.6799965,10,2,5,4,1
1.5,0.1998631075,0.0,3,2,1,5,0
1.36,0.5119780972,0.0,9,3,0,3,1
1.05,0.0082135524,0.0,2,4,0,4,1
1.67,0.8213552361,200.0,9,2,1,1,0
1.25,0.3832991102,0.0,10,4,2,2,1
3.57,0.5722108145,0.0,10,3,0,2,0
0.43,0.0438056126,0.0,3,4,0,6,0
0.77,0.7939767283,0.0,3,3,0,2,1
2.17,0.0930869268,0.0,9,2,1,3,0
1.24,0.2765229295,0.0,3,3,1,4,0
1.03,0.3121149897,0.0,9,3,2,2,0
1.46,0.052019165,0.0,9,2,0,4,1
4.69,0.5420944559,753.76999855,10,1,4,3,1
3.28,0.0492813142,0.0,10,2,1,2,1
0.92,0.2381930185,0.0,3,4,0,5,0
1.6,0.2080766598,0.0,7,2,3,4,0
0.6,0.334017796,0.0,2,4,3,4,0
3.61,0.7802874743,0.0,10,2,1,2,0
0.77,0.6735112936,0.0,9,4,0,1,0
2.77,0.038329911,0.0,11,1,4,4,1
2.47,0.2683093771,0.0,9,1,2,4,0
1.76,0.2546201232,0.0,9,1,2,4,0
2.16,0.3148528405,0.0,11,3,1,2,1
2.38,0.6406570842,0.0,9,1,4,3,0
0.89,0.720054757,0.0,3,3,3,2,0
1.63,0.7118412046,0.0,9,2,1,6,0
2.27,0.4024640657,0.0,10,3,2,4,1
1.26,0.3258042437,0.0,9,3,1,3,0
1.33,0.5174537988,0.0,9,3,2,2,0
5.03,0.9993155373,0.0,10,1,1,5,1
1.37,0.3586584531,0.0,12,3,4,3,1
3.07,0.8076659822,0.0,9,1,1,5,0
0.44,0.4298425736,0.0,9,4,1,4,1
1.8353,0.5859000684,0.0,3,1,0,1,0
1.09,0.1177275838,0.0,9,3,0,4,0
2.73,0.5338809035,0.0,10,3,5,3,1
1.87,0.4024640657,0.0,9,2,2,3,0
2.06,0.2600958248,0.0,10,3,0,6,1
0.46,0.3093771389,200.0,9,4,1,4,1
0.98,0.9993155373,0.0,9,4,4,2,0
1.44,0.9993155373,0.0,12,4,0,3,1
2.04,0.4709103354,0.0,3,1,1,5,0
1.14,0.8569472964,0.0,12,4,3,4,1
1.92,0.5557837098,0.0,10,3,2,4,1
1.83,0.9746748802,243.44000244,12,4,5,2,0
1.4,0.0657084189,0.0,9,2,4,6,0
1.64,0.3750855578,0.0,9,2,2,5,0
5.94,0.8268309377,0.0,5,3,1,5,0
0.93,0.8651608487,1054.7099991,9,3,2,4,0
1.44,0.6160164271,0.0,3,2,3,2,0
0.67,0.6242299795,0.0,9,4,1,5,1
4.36,0.9363449692,0.0,10,2,5,4,0
4.0,0.9993155373,0.0,10,3,4,3,0
0.51,0.1642710472,0.0,9,4,0,6,0
0.37,0.2299794661,0.0,9,4,3,6,0
1.03,0.1122518823,0.0,9,3,0,2,1
2.44,0.0027378508,0.0,10,2,3,3,0
2.77,0.8076659822,0.0,10,1,0,3,0
1.45,0.4325804244,0.0,9,2,0,4,0
1.02,0.900752909,0.0,10,4,0,2,1
4.45,0.643394935,0.0,10,1,5,3,1
1.49,0.501026694,0.0,3,2,3,6,0
1.28,0.6652977413,0.0,9,3,3,3,1
2.35,0.4380561259,0.0,9,2,1,2,1
1.08,0.0136892539,0.0,10,4,2,5,1
1.37,0.5037645448,0.0,3,1,4,3,0
1.71,0.720054757,0.0,9,2,3,2,0
1.94,0.8843258042,0.0,10,4,0,6,1
1.22,0.8624229979,0.0,9,2,0,2,0
2.81,0.4407939767,0.0,3,1,0,2,0
0.54,0.6707734428,0.0,3,4,0,5,0
0.98,0.9062286105,0.0,9,3,0,6,1
1.23,0.257357974,0.0,3,1,0,2,0
1.18,0.4982888433,0.0,10,4,0,5,1
1.83,0.2628336756,0.0,3,1,2,2,0
2.199,0.6625598905,0.0,9,1,1,4,0
2.89,0.5092402464,0.0,10,3,0,3,0
1.22,0.8323066393,0.0,3,2,4,6,0
1.0,0.0958247775,0.0,9,3,5,3,0
1.2,0.0793976728,0.0,10,4,2,2,1
2.35,0.4709103354,0.0,12,2,4,5,1
1.38,0.8213552361,0.0,3,2,4,6,0
2.03,0.424366872,0.0,12,3,1,1,1
1.89,0.8405201916,0.0,9,2,2,6,1
2.78,0.4517453799,0.0,10,1,0,3,1
2.03,0.9719370294,4287.9899979,9,1,3,3,0
2.27,0.2546201232,0.0,9,1,1,5,0
2.234,0.9582477755,0.0,3,1,0,6,0
3.76,0.6735112936,0.0,3,1,0,3,0
3.27,0.0082135524,0.0,10,3,4,3,1
